id,host_since,accommodates,bathrooms,bedrooms,beds,bed_type,first_review,instant_bookable,cancellation_policy
24784178,2018-04-03,4,2,2,2,Real Bed,,f,flexible
24784282,2016-03-18,1,1,1,1,Real Bed,,t,flexible
24784330,2016-03-18,4,1,0,1,Real Bed,2018-07-06,t,flexible
24785084,2018-02-13,8,3.5,4,4,Real Bed,2018-06-10,f,strict_14_with_grace_period
24785477,2018-05-02,2,1,0,1,Real Bed,2018-05-12,t,moderate
24785529,2018-03-04,2,1,1,2,Real Bed,2018-05-28,t,moderate
24787722,2018-02-26,4,2,2,2,Real Bed,2018-05-06,t,moderate
24788708,2015-08-04,2,1,0,1,Real Bed,2018-05-12,t,strict_14_with_grace_period
24790497,2015-08-04,2,1,0,1,Real Bed,2018-05-08,t,strict_14_with_grace_period
24790611,2015-03-18,2,1,1,1,Real Bed,2018-05-08,t,moderate
24793504,2015-08-09,6,3.5,3,4,Real Bed,2018-06-19,f,moderate
24795242,2013-12-06,4,1,2,2,Real Bed,2018-07-08,t,flexible
24795274,2017-01-13,1,1,1,1,Real Bed,2018-05-27,t,flexible
24796329,2018-05-02,2,1,1,1,Real Bed,2018-06-28,t,flexible
24796809,2017-04-16,2,2,1,2,Real Bed,2018-05-13,t,moderate
24807195,2018-04-02,2,1,1,2,Real Bed,2018-05-07,t,flexible
24807386,2014-09-09,4,1,2,2,Real Bed,,f,strict_14_with_grace_period
24807629,2018-05-02,4,1,1,3,Real Bed,2018-06-10,f,strict_14_with_grace_period
24808230,2016-05-22,1,1,1,1,Real Bed,2018-05-06,t,strict_14_with_grace_period
24808509,2015-01-12,2,1,1,1,Real Bed,2018-05-14,f,moderate
24808878,2018-05-02,1,1.5,1,1,Real Bed,,t,flexible
24809194,2016-03-15,2,1,1,1,Real Bed,2018-07-29,t,flexible
24809566,2015-06-18,2,1,1,1,Real Bed,2018-10-13,f,flexible
24809917,2018-01-02,2,1,1,1,Real Bed,2018-08-19,t,moderate
24809927,2018-01-02,2,1,1,1,Real Bed,2018-06-30,t,moderate
24810575,2013-11-02,2,1,1,1,Real Bed,2018-11-03,t,moderate
24810586,2018-05-02,6,2.5,3,5,Real Bed,2018-05-08,t,flexible
24810981,2018-05-03,1,2,3,1,Real Bed,2018-05-14,t,strict_14_with_grace_period
24811136,2015-12-06,5,1,2,3,Real Bed,2018-06-01,t,strict_14_with_grace_period
24812948,2013-06-27,2,2,1,2,Real Bed,2018-05-23,f,strict_14_with_grace_period
24813482,2015-12-06,2,1,1,1,Real Bed,2018-05-12,t,strict_14_with_grace_period
24816639,2012-06-30,2,1,1,1,Real Bed,,f,flexible
24817703,2013-07-01,5,1,2,3,Real Bed,2018-05-06,t,strict_14_with_grace_period
24818665,2017-11-09,2,1,1,1,Real Bed,2018-07-19,f,flexible
24819699,2018-03-18,2,1,1,1,Real Bed,2018-05-20,t,moderate
24820055,2016-10-01,9,1.5,3,6,Real Bed,2018-08-09,t,flexible
24821176,2015-06-22,2,1,1,1,Real Bed,2018-06-16,t,strict_14_with_grace_period
24832560,2017-07-28,3,1,1,2,Real Bed,2018-06-11,t,strict_14_with_grace_period
24833274,2018-05-03,2,1,1,1,Real Bed,2018-05-11,f,moderate
24833506,2016-04-30,2,1,1,1,Real Bed,2018-05-13,f,moderate
24833695,2012-08-29,2,1,1,1,Real Bed,2018-05-27,f,moderate
24836384,2018-05-04,2,1.5,1,1,Real Bed,2018-05-19,f,flexible
24836656,2018-05-03,2,1,1,1,Real Bed,2018-05-12,t,moderate
24837079,2016-08-18,6,1,2,2,Real Bed,2018-05-17,f,strict_14_with_grace_period
24837327,2018-01-30,8,2,3,3,Real Bed,,f,strict_14_with_grace_period
24837668,2018-04-18,4,2,2,2,Real Bed,2018-05-19,t,strict_14_with_grace_period
24837681,2018-04-18,4,2,2,2,Real Bed,2018-07-01,t,strict_14_with_grace_period
24837707,2018-04-18,2,1,1,1,Real Bed,,t,strict_14_with_grace_period
24837895,2015-08-04,4,1,0,2,Real Bed,2018-06-10,t,strict_14_with_grace_period
24838078,2018-01-30,8,2,3,3,Real Bed,,f,strict_14_with_grace_period
24839025,2018-01-30,10,2,3,4,Real Bed,2018-11-18,f,strict_14_with_grace_period
24839673,2018-01-30,10,2,3,4,Real Bed,,f,strict_14_with_grace_period
24840289,2018-01-30,10,2,3,3,Real Bed,2018-07-15,f,strict_14_with_grace_period
24842070,2015-03-22,4,2,2,2,Real Bed,2018-05-27,f,moderate
24843830,2016-07-06,9,1,4,6,Real Bed,2018-07-07,f,moderate
24846211,2016-07-06,16,3,8,15,Real Bed,2018-10-28,f,moderate
24854513,2015-02-03,1,1,0,1,Real Bed,,t,flexible
24855269,2018-01-30,10,2,4,8,Real Bed,2018-09-24,f,strict_14_with_grace_period
24855800,2015-09-23,4,1,1,2,Real Bed,2018-07-05,t,moderate
24857452,2016-01-13,5,1,2,1,Real Bed,2018-05-20,t,strict_14_with_grace_period
24857489,2016-04-22,2,1,1,1,Real Bed,2018-05-06,f,strict_14_with_grace_period
24857874,2014-04-30,5,2,0,2,Real Bed,,t,strict_14_with_grace_period
24857885,2014-04-30,2,1,0,1,Real Bed,,t,strict_14_with_grace_period
24857893,2014-04-30,2,1,0,1,Real Bed,,t,strict_14_with_grace_period
24857900,2014-04-30,5,2,0,2,Real Bed,,t,strict_14_with_grace_period
24857915,2014-04-30,2,1,0,1,Real Bed,,t,strict_14_with_grace_period
24857921,2014-04-30,2,1,0,1,Real Bed,,t,strict_14_with_grace_period
