id,host_id,host_name,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,collect_date
15876928,34186903,Lady Kitty,Melbourne,-37.81466754,144.9544554,Entire home/apt,169,1,65,3/11/18,2.67,3,153,2018-12-07
15877541,20887386,Bharti,Melbourne,-37.8002202,144.9471728,Private room,100,1,44,18/11/18,1.92,1,90,2018-12-07
15877631,18713716,Andy,Yarra Ranges,-37.92543117,145.3479874,Entire home/apt,140,1,37,11/11/18,1.98,1,123,2018-12-07
15878281,80621455,Bill Donghang,Melbourne,-37.81587112,144.9553798,Entire home/apt,123,1,72,1/12/18,3.07,29,56,2018-12-07
15879869,102968616,Richmond Hill,Yarra,-37.82230578,144.999723,Entire home/apt,180,1,49,16/11/18,2.12,2,331,2018-12-07
15880466,89132514,Amii,Melbourne,-37.80804579,144.9599186,Shared room,300,7,0,,,1,90,2018-12-07
15881472,51035706,My Melody,Melbourne,-37.81952575,144.9553989,Private room,89,1,13,23/03/17,0.52,1,0,2018-12-07
15886873,52039224,Aakash,Port Phillip,-37.84649683,144.9770099,Private room,75,2,0,,,1,0,2018-12-07
15889065,85063837,Selina,Maribyrnong,-37.82111355,144.8747155,Private room,108,31,0,,,1,363,2018-12-07
15889371,48551496,Sarah,Yarra Ranges,-37.87775935,145.3921367,Entire home/apt,550,2,49,17/11/18,2.63,1,327,2018-12-07
15889493,103053163,Dragana,Port Phillip,-37.8519589,144.9802279,Private room,280,3,0,,,1,0,2018-12-07
15889927,24814727,Andrea,Frankston,-38.13809324,145.1211008,Entire home/apt,940,2,2,11/06/18,0.14,2,332,2018-12-07
15890684,103065917,D,Melbourne,-37.8272547,144.9582227,Entire home/apt,179,3,43,22/11/18,1.72,1,32,2018-12-07
15891173,2793499,Luxuria Property Group,Melbourne,-37.80934671,144.9581448,Entire home/apt,190,3,95,3/12/18,3.81,6,52,2018-12-07
15891191,103069716,Tam,Melbourne,-37.82673421,144.9605602,Entire home/apt,100,2,70,28/09/18,2.86,1,0,2018-12-07
15891204,7100513,Danielle,Yarra,-37.79972993,144.9905026,Entire home/apt,210,2,65,1/12/18,2.6,1,104,2018-12-07
15893692,25677005,Thomas,Port Phillip,-37.86518367,144.9851464,Private room,89,1,7,29/10/17,0.29,2,0,2018-12-07
15894240,23910988,Mark,Melbourne,-37.82242965,144.9617954,Entire home/apt,320,2,64,15/08/18,2.58,13,89,2018-12-07
15901949,41899964,Bass,Port Phillip,-37.86604456,144.9780592,Entire home/apt,741,6,0,,,1,160,2018-12-07
15901994,99614565,Wenwen,Yarra Ranges,-37.90897962,145.3250168,Entire home/apt,140,2,20,5/12/17,0.86,1,0,2018-12-07
15902292,10223040,Amrit,Yarra,-37.79673804,144.979045,Entire home/apt,219,1,0,,,1,11,2018-12-07
15902417,11914644,Luxico Holiday Homes,Melbourne,-37.80777299,144.9620897,Entire home/apt,720,7,3,30/09/18,0.27,73,325,2018-12-07
